"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"78PXNDKN","journalArticle","2011","Presser, Volker; McDonough, John; Yeon, Sun-Hwa; Gogotsi, Yury","Effect of pore size on carbon dioxide sorption by carbide derived carbon","Energy & Environmental Science","","1754-5692, 1754-5706","10.1039/c1ee01176f","https://xlink.rsc.org/?DOI=c1ee01176f","","2011","2025-04-14 18:36:32","2025-04-14 18:36:32","2025-04-14 18:36:32","3059","","8","4","","Energy Environ. Sci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMNLVITY","journalArticle","1992","Peng, Chien H.; Desu, Seshu B.","Low-temperature metalorganic chemical vapor deposition of perovskite Pb(Zr <i>x</i> Ti1− <i>x</i> )O3 thin films","Applied Physics Letters","","0003-6951, 1077-3118","10.1063/1.107646","https://pubs.aip.org/apl/article/61/1/16/60484/Low-temperature-metalorganic-chemical-vapor","Pb(ZrxTi1−x)O3 thin films with perovskite structure were successfully prepared on sapphire disks, Pt/Ti/SiO2/Si, and RuOx/SiO2/Si substrates at temperatures as low as 550 °C by hot-wall metalorganic chemical vapor deposition. Safe and stable precursors were used, namely: lead tetramethylheptadione [Pb(thd)2], zirconium tetramethylheptadione [Zr(thd)4], and titanium ethoxide. The deposition rates were in the range of 10.0 to 20.0 nm/min. The Auger electron spectroscopy (AES) depth profile showed good uniformity across the bulk of the films. The AES spectra also showed no carbon contamination in the bulk of the films. Zr/Ti ratio were easily controlled by the precursor temperatures and the flow rate of diluent gas. Optical constants were measured by a UV-VIS-NIR spectrophotometer. As-deposited films were dense and showed uniform and fine grain size. The 600 °C annealed film (Pb/Zr/Ti=50/41/9) showed a spontaneous polarization of 23.3 μC/cm3 and a coercive field of 64.5 kV/cm.","1992-07-06","2025-04-14 18:36:33","2025-04-14 18:36:33","2025-04-14 18:36:33","16-18","","1","61","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\RNDIYWLF\Peng and Desu - 1992 - Low-temperature metalorganic chemical vapor deposition of perovskite Pb(Zr x Ti1− x )O.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBMVQHM7","journalArticle","1997","Cooney, David O.; Struhsaker, Thomas T.","[No title found]","International Journal of Primatology","","01640291","10.1023/A:1026324703410","http://link.springer.com/10.1023/A:1026324703410","","1997","2025-04-14 18:36:56","2025-04-14 18:36:56","2025-04-14 18:36:56","235-246","","2","18","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5NEH3VL","journalArticle","2011","Takahashi, Saori; Murase, Mami; Hagiwara, Hiroaki; Matsumoto, Naohide; Tsuchimoto, Masanobu","Homo- and Heterochiral Aggregations of Samarium(III) Complexes with Acetate and Tripod Ligand Containing Three Imidazole Groups","Bulletin of the Chemical Society of Japan","","0009-2673, 1348-0634","10.1246/bcsj.20110141","https://academic.oup.com/bcsj/article/84/10/1082/7343452","Abstract             Three SmIII complexes with tripod heptadentate N7 ligands containing three imidazole groups, [Sm(H3L2-Me)(ac)](ClO4)2·2MeOH·H2O (1), [Sm(H3L2-Me)(ac)](ClO4)2·2EtOH (2), and [Sm(H3L4-Me)(ac)](ClO4)2·MeOH (3), were synthesized and the crystal structures were determined, where H3L2-Me and H3L4-Me are the 1:3 condensation products of tris(2-aminoethyl)amine and either 2-methyl-4-formylimidazole and 4-methyl-5-formylimidazole, respectively, and ac denotes acetate ion. Each SmIII ion is coordinated by a tripod heptadentate N7 ligand and two oxygen atoms of the acetate ion. Due to the screw coordination arrangement of the achiral tripod ligand to the SmIII ion, the complex-cation [SmIII(H3L2- or 4-Me)(ac)]2+ gives Δ- and Λ-enantiomorphs. In compounds 1 and 2, two adjacent [Sm(H3L2-Me)(ac)]2+ species with the same chirality are linked by an intermolecular imidazole···acetate hydrogen bond to form a homochiral 1D chain structure. Adjacent chains with the same chirality are stacked to give a conglomerate crystal in 1, while adjacent chains with opposite chiralities are stacked to give a racemic crystal in 2. In compound 3, two adjacent [Sm(H3L4-Me)(ac)]2+ species with the opposite chiralities are doubly bridged by two intermolecular imidazole···acetate hydrogen bonds to form a heterochiral dimer and the adjacent dimers are connected by ClO4− ion through the hydrogen bonds to form a racemic crystal.","2011-10-15","2025-04-14 18:36:56","2025-04-14 18:36:56","2025-04-14 18:36:56","1082-1089","","10","84","","","","","","","","","","en","https://academic.oup.com/pages/standard-publication-reuse-rights","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G47MS254","journalArticle","1956","Onishi, Hiroshi","Notes on the Geochemistry of Germanium","Bulletin of the Chemical Society of Japan","","0009-2673, 1348-0634","10.1246/bcsj.29.686","https://academic.oup.com/bcsj/article/29/6/686/7378786","Abstract             Chondrites have uniform germanium contents: the average of 18 samples is 10.6 ppm. Ge, with the range 9.0–12.4 ppm.             The common igneous rocks do not differ greatly in germanium content as shown by the averages: granitic rocks 1.3 ppm., intermediate rocks 1.5 ppm., basalts and diabases 1.3 ppm., gabbros 1.2 ppm., and ultramafic rocks 1.0 ppm. The average for the lithosphere or the crustal rocks may be taken as 1.5±0.5 ppm. Ge.             Shales contain 2 ppm. Ge. Oceanic red clay also contains the similar amount. The germanium content of sedimentary materials seems to be somewhat higher than that of igneous rocks because of the possible escape of germanium in hydrothermal and volcanic emanations.","1956-06-01","2025-04-14 18:36:57","2025-04-14 18:36:57","2025-04-14 18:36:57","686-694","","6","29","","","","","","","","","","en","https://academic.oup.com/pages/standard-publication-reuse-rights","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7HEGPC7","journalArticle","2017","Peitzmeier, Sarah; Gardner, Ivy; Weinand, Jamie; Corbet, Alexandra; Acevedo, Kimberlynn","Health impact of chest binding among transgender adults: a community-engaged, cross-sectional study","Culture, Health & Sexuality","","1369-1058, 1464-5351","10.1080/13691058.2016.1191675","https://www.tandfonline.com/doi/full/10.1080/13691058.2016.1191675","","2017-01-02","2025-04-14 18:36:58","2025-04-14 18:36:58","2025-04-14 18:36:58","64-75","","1","19","","Culture, Health & Sexuality","Health impact of chest binding among transgender adults","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKEW6CTM","journalArticle","2008","Machin, Stephen; Pekkarinen, Tuomas","Global Sex Differences in Test Score Variability","Science","","0036-8075, 1095-9203","10.1126/science.1162573","https://www.science.org/doi/10.1126/science.1162573","","2008-11-28","2025-04-14 18:36:58","2025-04-14 18:36:58","2025-04-14 18:36:58","1331-1332","","5906","322","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6Z8M8EW","journalArticle","1998","Levy, Jonathan C; Matthews, David R; Hermans, Michel P","Correct Homeostasis Model Assessment (HOMA) Evaluation Uses the Computer Program","Diabetes Care","","0149-5992, 1935-5548","10.2337/diacare.21.12.2191","https://diabetesjournals.org/care/article/21/12/2191/21899/Correct-Homeostasis-Model-Assessment-HOMA","","1998-12-01","2025-04-14 18:36:59","2025-04-14 18:36:59","2025-04-14 18:36:59","2191-2192","","12","21","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IV8I4WE2","journalArticle","2012","Cui, Qinghong; Hu, C.-R.; Wei, J. Y. T.; Yang, Kun","Spectroscopic signatures of the Larkin-Ovchinnikov state in the conductance characteristics of a normal-metal/superconductor junction","Physical Review B","","1098-0121, 1550-235X","10.1103/PhysRevB.85.014503","https://link.aps.org/doi/10.1103/PhysRevB.85.014503","","2012-01-17","2025-04-14 18:36:59","2025-04-14 18:36:59","2025-04-14 18:36:59","014503","","1","85","","Phys. Rev. B","","","","","","","","en","http://link.aps.org/licenses/aps-default-license","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\MAXC9NFQ\Cui et al. - 2012 - Spectroscopic signatures of the Larkin-Ovchinnikov state in the conductance characteristics of a nor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PY6IJUAU","journalArticle","1996","Matsumoto, Kinzo; Mizowaki, Maho; Suchitra, Thongpradichote; Murakami, Yukihisa; Takayama, Hiromitsu; Sakai, Shin-ichiro; Aimi, Norio; Watanabe, Hiroshi","Central antinociceptive effects of mitragynine in mice: contribution of descending noradrenergic and serotonergic systems","European Journal of Pharmacology","","00142999","10.1016/S0014-2999(96)00714-5","https://linkinghub.elsevier.com/retrieve/pii/S0014299996007145","","1996-12","2025-04-14 18:37:00","2025-04-14 18:37:00","2025-04-14 18:37:00","75-81","","1","317","","European Journal of Pharmacology","Central antinociceptive effects of mitragynine in mice","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVASDAEY","journalArticle","2014","Alasepp, Kadri; Borch, Kim; Cruys-Bagger, Nicolaj; Badino, Silke; Jensen, Kenneth; Sørensen, Trine H.; Windahl, Michael S.; Westh, Peter","In Situ Stability of Substrate-Associated Cellulases Studied by DSC","Langmuir","","0743-7463, 1520-5827","10.1021/la500161e","https://pubs.acs.org/doi/10.1021/la500161e","","2014-06-24","2025-04-14 18:37:01","2025-04-14 18:37:01","2025-04-14 18:37:01","7134-7142","","24","30","","Langmuir","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"828XTA59","journalArticle","2014","Schaeffer, Nicolas; Wan, Yanfen; Pileni, Marie-Paule","Hierarchy in Au Nanocrystal Ordering in Supracrystals: III. Competition between van der Waals and Dynamic Processes","Langmuir","","0743-7463, 1520-5827","10.1021/la500876v","https://pubs.acs.org/doi/10.1021/la500876v","","2014-06-24","2025-04-14 18:37:01","2025-04-14 18:37:01","2025-04-14 18:37:01","7177-7181","","24","30","","Langmuir","Hierarchy in Au Nanocrystal Ordering in Supracrystals","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AK4NEWR","journalArticle","1977","Walsh, John","Blast-Off for Swigert, Reentry for Mosher","Science","","0036-8075, 1095-9203","10.1126/science.197.4307.967","https://www.science.org/doi/10.1126/science.197.4307.967","","1977-09-02","2025-04-14 18:37:02","2025-04-14 18:37:02","2025-04-14 18:37:02","967-967","","4307","197","","Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DG5B2EF","journalArticle","2009","Crane, Mary Thomas","Surface, Depth, and the Spatial Imaginary: A Cognitive Reading of <i>The Political Unconscious</i>","Representations","","0734-6018, 1533-855X","10.1525/rep.2009.108.1.76","https://online.ucpress.edu/representations/article/108/1/76/81576/Surface-Depth-and-the-Spatial-Imaginary-A","This essay argues that cognitive approaches to literature are less widely used than they might be if they offered a hermeneutic practice in addition to providing insight about the ways in which texts are produced and read. It offers a history of the spatial metaphors of surface and depth that structure Jameson's interpretive practice in The Political Unconscious, arguing that Jameson deploys spatial metaphors in order to negotiate aporiae that are not reconcilable in theory.","2009-11-01","2025-04-14 18:37:03","2025-04-14 18:37:03","2025-04-14 18:37:03","76-97","","1","108","","","Surface, Depth, and the Spatial Imaginary","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SU2IB6JP","journalArticle","2015","Van Rossum, Joseph; Renz, Mark J.","Composting Reduces Seed Viability of Garlic Mustard ( <i>Alliaria petiolata</i> ) and Common Buckthorn ( <i>Rhamnus cathartica</i> )","Invasive Plant Science and Management","","1939-7291, 1939-747X","10.1614/IPSM-D-15-00005.1","https://www.cambridge.org/core/product/identifier/S1939729100004491/type/journal_article","Abstract             Composting is a common practice for management of herbaceous yard materials and other decomposable materials. Although composting is promoted by state agencies for many materials, a notable exception is invasive plants due to concerns about spreading propagules with the finished product. To address this issue, we measured the viability of garlic mustard and common buckthorn seeds exposed to turned or static composting methods. Piles were built in 2012 and 2013, and seeds from both species were inserted and monitored for viability. Seed viability was reduced rapidly regardless of year, composting method, or species. Viability of seeds was zero within 7 and 15 d of composting for garlic mustard and common buckthorn, respectively, in both years. Results indicate that composting facilities are able to render the seeds of these invasive plants nonviable using either composting method because inactivation is within the composting timeframes typically practiced by the industry. This includes the process to further reduce pathogens (PFRP) with thresholds of 55 C for 15 d for the compost management process used for this trial.","2015-09","2025-04-14 18:37:03","2025-04-14 18:37:03","2025-04-14 18:37:03","284-291","","3","8","","Invasive plant sci. manag.","","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NQXTQ6E","journalArticle","2012","Hijnen, Niek; Clegg, Paul S.","Simple Synthesis of Versatile Akaganéite-Silica Core–Shell Rods","Chemistry of Materials","","0897-4756, 1520-5002","10.1021/cm301772p","https://pubs.acs.org/doi/10.1021/cm301772p","","2012-09-11","2025-04-14 18:37:04","2025-04-14 18:37:04","2025-04-14 18:37:04","3449-3457","","17","24","","Chem. Mater.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSVL4KUT","journalArticle","2007","Saha, B. B.; Chakraborty, A.; Koyama, S.; Lee, J.-B.; He, J.; Ng, K. C.","Adsorption characteristics of parent and copper-sputtered RD silica gels","Philosophical Magazine","","1478-6435, 1478-6443","10.1080/14786430601032386","http://www.tandfonline.com/doi/abs/10.1080/14786430601032386","","2007-03","2025-04-14 18:37:04","2025-04-14 18:37:04","2025-04-14 18:37:04","1113-1121","","7","87","","Philosophical Magazine","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8CAMVV4","journalArticle","2004","Rchid, Halima; Chevassus, Hugues; Nmila, Rachid; Guiral, Carine; Petit, Pierre; Chokaïri, Mustapha; Sauvaire, Yves","<i>Nigella sativa</i> seed extracts enhance glucose‐induced insulin release from rat‐isolated Langerhans islets","Fundamental & Clinical Pharmacology","","0767-3981, 1472-8206","10.1111/j.1472-8206.2004.00275.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1472-8206.2004.00275.x","Abstract                            Nigella sativa               L. ‘Black cumin’ (Ranunculaceae) is one of the plants commonly used in Moroccan folk medicine for treatment of various ailments including diabetes mellitus. The present study was undertaken to investigate the effect of different               N. sativa               seed extracts on insulin secretion. Different fractions of the seed were prepared: the defatted fraction (HR II), which was divided into two subfractions: the first (HR III) containing acidic and neutral compounds and the second (HR IV) containing basic compounds. The insulin secretory effects of these extracts were evaluated individually at different concentrations (0.01, 0.1, 1 and 5 mg/mL), in vitro in isolated rat pancreatic islets in the presence of 8.3 mmol/L glucose. The results show that addition of the defatted whole extract or of the basic subfraction of the seed in the incubation medium significantly increased glucose‐induced insulin release from the islets. In the case of the acidic and neutral subfraction, the stimulatory effect was observed only for the higher concentration (5 mg/mL). However, a clear concentration‐dependent increase in insulin release from isolated pancreatic islets was observed for the basic subfraction. Our data show that the antidiabetic properties of               N. sativa               seeds may be, at least partly, mediated by stimulated insulin release, and that the basic subfraction largely contributes to this stimulatory effect. Further phytochemical studies are underway in order to isolate the pharmacological compound(s) responsible for the insulinotropic effect of               N. sativa               seeds.","2004-10","2025-04-14 18:37:05","2025-04-14 18:37:05","2025-04-14 18:37:05","525-529","","5","18","","Fundamemntal Clinical Pharma","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ADSE229G","journalArticle","2016","Bendezú-Quispe, Guido; Nieto-Gutiérrez, Wendy; Pacheco-Mendoza, Josmel; Taype-Rondan, Alvaro","Sci-Hub and medical practice: an ethical dilemma in Peru","The Lancet Global Health","","2214109X","10.1016/S2214-109X(16)30188-7","https://linkinghub.elsevier.com/retrieve/pii/S2214109X16301887","","2016-09","2025-04-14 18:37:05","2025-04-14 18:37:05","2025-04-14 18:37:05","e608","","9","4","","The Lancet Global Health","Sci-Hub and medical practice","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\ZHKF5PWF\Bendezú-Quispe et al. - 2016 - Sci-Hub and medical practice an ethical dilemma in Peru.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67X35MFQ","journalArticle","2014","Sakamoto, Takeshi; Nagao, Daisuke; Noba, Masahiro; Ishii, Haruyuki; Konno, Mikio","Dispersed-Nanoparticle Loading Synthesis for Monodisperse Au-Titania Composite Particles and Their Crystallization for Highly Active UV and Visible Photocatalysts","Langmuir","","0743-7463, 1520-5827","10.1021/la5012499","https://pubs.acs.org/doi/10.1021/la5012499","","2014-06-24","2025-04-14 18:37:08","2025-04-14 18:37:08","2025-04-14 18:37:08","7244-7250","","24","30","","Langmuir","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E256ZJP9","journalArticle","2017","Okpadah, Stephen Ogheneruro","Theatre for Development as a Model for Transformative Change in Nigeria","Teaching Artist Journal","","1541-1796, 1541-180X","10.1080/15411796.2017.1297620","https://www.tandfonline.com/doi/full/10.1080/15411796.2017.1297620","","2017-01-02","2025-04-14 18:37:08","2025-04-14 18:37:08","2025-04-14 18:37:08","3-8","","1","15","","Teaching Artist Journal","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WH97F9GT","journalArticle","1988","Diamant, Joram; Williams, Michael C.; Soane, David S.","Microstructural diagnosis of block copolymer nonlinear mechanical properties I. Uniaxial stress/strain","Polymer Engineering & Science","","0032-3888, 1548-2634","10.1002/pen.760280404","https://4spepublications.onlinelibrary.wiley.com/doi/10.1002/pen.760280404","Abstract                            An earlier study on the linear dynamic properties of triblock copolymers was continued into the nonlinear property regime. Uniaxial tensile tests were performed on styrene‐butadiene‐styrene block copolymers. The three polymers, having polystyrene (PS) fractions 0.27, 0.29, and 0.48, also represented three molecular weights (0.49, 0.58, and 1.0 × 10               5               ). Specimens were prepared by casting from three solvents (methyl ethyl ketone, MEK; cyclohexane; and a 9:1 mixture of tetrahydrofuran and MEK). This wide range of variables led to a correspondingly wide spectrum of properties, including the “plastic‐to‐rubber” transition in some cases. Stress‐strain curves were characterized by modulus, yield stress, general elevation, and fracture stress and elongation. Results were interpreted in terms of microstructural parameters obtained from the earlier linear tests, including interphase properties, and molecular features as well. Special insight emerged from comparison of first‐cycle (to 300 percent elongation) and second‐cycle tests, including changes in modulus, yielding, level, and the appearance of set. Additional data on sample preparation influences and PS continuity effects on sample properties were also obtained.","1988-02","2025-04-14 18:37:09","2025-04-14 18:37:09","2025-04-14 18:37:09","207-220","","4","28","","Polymer Engineering & Sci","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPZX3VHA","journalArticle","2014","Sandoz, Patrick A.; Chung, Aram J.; Weaver, Westbrook M.; Di Carlo, Dino","Sugar Additives Improve Signal Fidelity for Implementing Two-Phase Resorufin-Based Enzyme Immunoassays","Langmuir","","0743-7463, 1520-5827","10.1021/la5004484","https://pubs.acs.org/doi/10.1021/la5004484","","2014-06-17","2025-04-14 18:37:09","2025-04-14 18:37:09","2025-04-14 18:37:09","6637-6643","","23","30","","Langmuir","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUUBE8I7","journalArticle","2005","","Back matter","Physical Chemistry Chemical Physics","","1463-9076, 1463-9084","10.1039/b509554a","https://xlink.rsc.org/?DOI=b509554a","","2005","2025-04-14 18:37:10","2025-04-14 18:37:10","2025-04-14 18:37:10","2978","","15","7","","Phys. Chem. Chem. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29PIIWAI","journalArticle","2005","","Back cover","Physical Chemistry Chemical Physics","","1463-9076, 1463-9084","10.1039/b509555g","https://xlink.rsc.org/?DOI=b509555g","","2005","2025-04-14 18:37:10","2025-04-14 18:37:10","2025-04-14 18:37:10","2979","","15","7","","Phys. Chem. Chem. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99LJANLQ","journalArticle","1999","Feldman, Robert S.; Tomasian, Jason C.; Coats, Erik J.","[No title found]","Journal of Nonverbal Behavior","","01915886","10.1023/A:1021369327584","http://link.springer.com/10.1023/A:1021369327584","","1999","2025-04-14 18:37:11","2025-04-14 18:37:11","2025-04-14 18:37:11","237-249","","3","23","","","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBQXHCMZ","journalArticle","2001","Torrent, Maricel; Mansour, Danielle; Day, Edmund P.; Morokuma, Keiji","2001, Volume 105B Quantum Chemical Study on Oxygen-17 and Nitrogen-14 Quadrupole Coupling Parameters of Peptide Bonds in α-Helix and β-Sheet Proteins","The Journal of Physical Chemistry B","","1520-6106, 1520-5207","10.1021/jp011934s","https://pubs.acs.org/doi/10.1021/jp011934s","","2001-08-01","2025-04-14 18:37:12","2025-04-14 18:37:12","2025-04-14 18:37:12","8064-8064","","33","105","","J. Phys. Chem. B","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8DY5PP8","journalArticle","2017","Guo, Xingzhong; Ding, Li; Ren, Jing; Yang, Hui","Preparation of macroporous Li2ZrO3 monoliths via an epoxide-mediated sol–gel process accompanied by phase separation","Journal of Porous Materials","","1380-2224, 1573-4854","10.1007/s10934-017-0373-6","http://link.springer.com/10.1007/s10934-017-0373-6","","2017-10","2025-04-14 18:37:12","2025-04-14 18:37:12","2025-04-14 18:37:12","1319-1326","","5","24","","J Porous Mater","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CWX9UG5","journalArticle","2011","Dai, Aiguo","Drought under global warming: a review","WIREs Climate Change","","1757-7780, 1757-7799","10.1002/wcc.81","https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.81","Abstract                            This article reviews recent literature on drought of the last millennium, followed by an update on global aridity changes from 1950 to 2008. Projected future aridity is presented based on recent studies and our analysis of model simulations. Dry periods lasting for years to decades have occurred many times during the last millennium over, for example, North America, West Africa, and East Asia. These droughts were likely triggered by anomalous tropical sea surface temperatures (SSTs), with La Niña‐like SST anomalies leading to drought in North America, and El‐Niño‐like SSTs causing drought in East China. Over Africa, the southward shift of the warmest SSTs in the Atlantic and warming in the Indian Ocean are responsible for the recent Sahel droughts. Local feedbacks may enhance and prolong drought. Global aridity has increased substantially since the 1970s due to recent drying over Africa, southern Europe, East and South Asia, and eastern Australia. Although El Niño‐Southern Oscillation (ENSO), tropical Atlantic SSTs, and Asian monsoons have played a large role in the recent drying, recent warming has increased atmospheric moisture demand and likely altered atmospheric circulation patterns, both contributing to the drying. Climate models project increased aridity in the 21               st               century over most of Africa, southern Europe and the Middle East, most of the Americas, Australia, and Southeast Asia. Regions like the United States have avoided prolonged droughts during the last 50 years due to natural climate variations, but might see persistent droughts in the next 20–50 years. Future efforts to predict drought will depend on models' ability to predict tropical SSTs.               WIREs Clim Change               2011 2 45–65 DOI: 10.1002/wcc.81                                         This article is categorized under:                                                   Paleoclimates and Current Trends > Detection and Attribution                                                     Paleoclimates and Current Trends > Modern Climate Change                                                     Assessing Impacts of Climate Change > Evaluating Future Impacts of Climate Change                                                     Assessing Impacts of Climate Change > Observed Impacts of Climate Change","2011-01","2025-04-14 18:37:13","2025-04-14 18:37:13","2025-04-14 18:37:13","45-65","","1","2","","WIREs Climate Change","Drought under global warming","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\8QX32TAU\Dai - 2011 - Drought under global warming a review.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQMVEE5A","journalArticle","1927","Morton, Cora","A novel chemical quiz","Journal of Chemical Education","","0021-9584, 1938-1328","10.1021/ed004p84","https://pubs.acs.org/doi/abs/10.1021/ed004p84","","1927-01","2025-04-14 18:37:15","2025-04-14 18:37:15","2025-04-14 18:37:15","84","","1","4","","J. Chem. Educ.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
